,Username,Display_Name,Gender,notebook_url,code_location,labels,top_labels
0,tchaye59,Jude TCHAYE,male,https://www.kaggle.com/code/tchaye59/jmarket-keras-starter-submit,D:\learning\thesis\male\tchaye59\jmarket-keras-starter-submit.ipynb,"['Jane Street Market Prediction', 'Jane Street Market Dataset to feather', 'JMarket-Keras Starter']",{'Jane Street Market Prediction'}
1,iyara1,Riya,female,https://www.kaggle.com/code/iyara1/deepanalysis-and-modelling-using-linear-regression,D:\learning\thesis\female\iyara1\deepanalysis-and-modelling-using-linear-regression.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
2,sanjay7013,Sanjay M,male,https://www.kaggle.com/code/sanjay7013/credit-card-fraud-detection-easy-to-understand,D:\learning\thesis\male\sanjay7013\credit-card-fraud-detection-easy-to-understand.ipynb,['Credit Card Fraud Detection'],{'Credit Card Fraud Detection'}
3,validmodel,Rashmi Margani,female,https://www.kaggle.com/code/validmodel/master-decisiontree-from-scratch-with-iris,D:\learning\thesis\female\validmodel\master-decisiontree-from-scratch-with-iris.ipynb,['Iris Species'],{'Iris Species'}
4,rajeevnair676,Rajeev Nair,male,https://www.kaggle.com/code/rajeevnair676/nlp-forall-part1,D:\learning\thesis\male\rajeevnair676\nlp-forall-part1.ipynb,"['IMDB Dataset of 50K Movie Reviews', 'Tweet Sentiment Extraction', 'Natural Language Processing with Disaster Tweets']",{'Natural Language Processing with Disaster Tweets'}
5,jtrotman,James Trotman,male,https://www.kaggle.com/code/jtrotman/list-of-utility-scripts-on-kaggle,D:\learning\thesis\male\jtrotman\list-of-utility-scripts-on-kaggle.ipynb,"['Notebook Output Files to 2021-07-25', 'Meta Kaggle', 'jt mk utils']",{'Meta Kaggle'}
6,danofer,Dan Ofer,male,https://www.kaggle.com/code/danofer/anomaly-detection-for-feature-engineering-v2,D:\learning\thesis\male\danofer\anomaly-detection-for-feature-engineering-v2.ipynb,['Credit Card Fraud Detection'],{'Credit Card Fraud Detection'}
7,bhavikardeshna,Bhavik Ardeshna,male,https://www.kaggle.com/code/bhavikardeshna/nlp-with-disaster-tweets-data-preprocessing,D:\learning\thesis\male\bhavikardeshna\nlp-with-disaster-tweets-data-preprocessing.ipynb,"['Pickled glove.840B.300d', 'Pickled Crawl-300D-2M For Kernel Competitions', 'Natural Language Processing with Disaster Tweets']",{'Natural Language Processing with Disaster Tweets'}
8,aminizahra,Zahra Amini,female,https://www.kaggle.com/code/aminizahra/titanic-prediction-90-accuracy,D:\learning\thesis\female\aminizahra\titanic-prediction-90-accuracy.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
9,sfktrkl,Şafak Türkeli,male,https://www.kaggle.com/code/sfktrkl/tps-nov-2021-power-averaging,D:\learning\thesis\male\sfktrkl\tps-nov-2021-power-averaging.ipynb,"['Tabular Playground Series - Nov 2021', 'Understanding Neural Net', 'Simple NN with good results - TPS Nov 21']",{'Tabular Playground Series - Nov 2021'}
10,allunia,Laura Fink,female,https://www.kaggle.com/code/allunia/titanic-dive-through-feature-scaling-and-outliers,D:\learning\thesis\female\allunia\titanic-dive-through-feature-scaling-and-outliers.ipynb,"['TitanicDiveThrough_FeatureCave', 'Titanic - Machine Learning from Disaster']",{'Titanic - Machine Learning from Disaster'}
11,maxreis,Max Reis,male,https://www.kaggle.com/code/maxreis/house-price-submission-with-h2o,D:\learning\thesis\male\maxreis\house-price-submission-with-h2o.ipynb,['Housing Prices Competition for Kaggle Learn Users'],{'Housing Prices Competition for Kaggle Learn Users'}
12,motloch,Pavel Motloch,male,https://www.kaggle.com/code/motloch/nov21-use-logistic-to-correct-labels,D:\learning\thesis\male\motloch\nov21-use-logistic-to-correct-labels.ipynb,['Tabular Playground Series - Nov 2021'],{'Tabular Playground Series - Nov 2021'}
13,nivedithavudayagiri,Niveditha Vudayagiri,female,https://www.kaggle.com/code/nivedithavudayagiri/digit-recognizer-with-cnn-gpu,D:\learning\thesis\female\nivedithavudayagiri\digit-recognizer-with-cnn-gpu.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
14,joanneanto,Joanne Anto,female,https://www.kaggle.com/code/joanneanto/analysing-data-with-pivot-tables,D:\learning\thesis\female\joanneanto\analysing-data-with-pivot-tables.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
15,fathimashemeema,Fathima Shemeema,female,https://www.kaggle.com/code/fathimashemeema/titanic-decision-tree-classifier,D:\learning\thesis\female\fathimashemeema\titanic-decision-tree-classifier.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
16,sejalkshirsagar,Sejal Kshirsagar,female,https://www.kaggle.com/code/sejalkshirsagar/moa-prediction-keras,D:\learning\thesis\female\sejalkshirsagar\moa-prediction-keras.ipynb,['Mechanisms of Action (MoA) Prediction'],{'Mechanisms of Action (MoA) Prediction'}
17,anushreek15,ANUSHREE K,female,https://www.kaggle.com/code/anushreek15/space-titanic,D:\learning\thesis\female\anushreek15\space-titanic.ipynb,['Spaceship Titanic'],{'Spaceship Titanic'}
18,para24,JP,male,https://www.kaggle.com/code/para24/ovr-vs-multioutput-vs-classifier-chaining,D:\learning\thesis\male\para24\ovr-vs-multioutput-vs-classifier-chaining.ipynb,['Mechanisms of Action (MoA) Prediction'],{'Mechanisms of Action (MoA) Prediction'}
19,hhp07022000,Hari Hara Prasad,male,https://www.kaggle.com/code/hhp07022000/digit-recognizer-using-tensorflow,D:\learning\thesis\male\hhp07022000\digit-recognizer-using-tensorflow.ipynb,['Digit Recognizer'],{'Digit Recognizer'}
20,ridhijhamb,Ridhi Jhamb,female,https://www.kaggle.com/code/ridhijhamb/credit-card-fraud-detection-imbalanced-data,D:\learning\thesis\female\ridhijhamb\credit-card-fraud-detection-imbalanced-data.ipynb,['Credit Card Fraud Detection'],{'Credit Card Fraud Detection'}
21,akinert,Ertuğrul Akın,male,https://www.kaggle.com/code/akinert/house-prices-linear-regression-selectkbest,D:\learning\thesis\male\akinert\house-prices-linear-regression-selectkbest.ipynb,['House Prices - Advanced Regression Techniques'],{'House Prices - Advanced Regression Techniques'}
22,shakshyathedetector,Shubham Varshney,male,https://www.kaggle.com/code/shakshyathedetector/getting-started-with-titanic,D:\learning\thesis\male\shakshyathedetector\getting-started-with-titanic.ipynb,['Titanic - Machine Learning from Disaster'],{'Titanic - Machine Learning from Disaster'}
